SK_ID_CURR,TARGET,CODE_GENDER,AMT_CREDIT,AMT_GOODS_PRICE,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,DAYS_BIRTH,DAYS_EMPLOYED,DAYS_ID_PUBLISH,OCCUPATION_TYPE,REGION_RATING_CLIENT,REGION_RATING_CLIENT_W_CITY,ORGANIZATION_TYPE,EXT_SOURCE_1,EXT_SOURCE_2,EXT_SOURCE_3,FLOORSMAX_AVG,FLOORSMAX_MODE,FLOORSMAX_MEDI,TOTALAREA_MODE,DAYS_LAST_PHONE_CHANGE
157889,0,F,656361.0,522000.0,Commercial associate,Secondary / secondary special,-22143,-236,-5290,Core staff,2,2,Government,0.8545840082715684,0.624417568719125,0.1974745115685422,,,,,-1258.0
157890,1,M,675000.0,675000.0,Working,Secondary / secondary special,-13868,-1456,-4547,Laborers,2,2,Business Entity Type 3,,0.5509562373662606,0.7421816117614419,0.0417,0.0417,0.0417,0.0099,-1782.0
157891,0,F,296280.0,225000.0,Working,Secondary / secondary special,-11882,-1351,-534,,2,2,Self-employed,,0.4312618096297519,0.7449321846094795,0.1667,0.1667,0.1667,0.0606,0.0
157893,0,F,166500.0,166500.0,Commercial associate,Incomplete higher,-13830,-4580,-1657,Cleaning staff,1,1,Business Entity Type 2,,0.6039375268469055,,0.1667,0.1667,0.1667,0.0593,-1766.0
157894,0,F,257391.0,238500.0,Commercial associate,Secondary / secondary special,-16579,-614,-124,Sales staff,2,2,Self-employed,,0.3991352994911975,0.7136313997323308,0.3333,0.3333,0.3333,0.0364,-2421.0
157895,0,F,755190.0,675000.0,Commercial associate,Higher education,-15885,-1550,-4724,,2,2,Business Entity Type 1,0.7157748198537969,0.4862670297536295,0.6894791426446275,0.0417,0.0417,0.0417,0.0124,-1199.0
157896,0,F,528633.0,472500.0,Working,Secondary / secondary special,-19907,-13243,-3426,Managers,3,3,Business Entity Type 3,0.6795906632393698,0.5088518625378224,0.5136937663039473,0.1667,0.1667,0.1667,0.0462,-2193.0
157897,0,F,254700.0,225000.0,Working,Secondary / secondary special,-14503,-7414,-1376,,2,2,Housing,,0.6570744205454935,0.2851799046358216,0.0417,0.0417,0.0417,0.0078,-2445.0
157898,0,M,348264.0,315000.0,Pensioner,Secondary / secondary special,-23629,365243,-4493,,2,2,XNA,0.6255102992855579,0.6191980520254944,0.816092360478441,,,,,-1495.0
157899,0,F,675000.0,675000.0,State servant,Secondary / secondary special,-15134,-5818,-4743,Medicine staff,2,2,Medicine,,0.6804590885332561,0.5726825047161584,0.0,0.0,0.0,0.0044,-2267.0
157900,0,F,1223010.0,1125000.0,State servant,Higher education,-21865,-7451,-972,Core staff,2,2,Government,0.7462087996166008,0.6282457293943899,0.6848276586890367,0.1667,0.1667,0.1667,0.0975,-1456.0
157901,0,F,167895.0,157500.0,Pensioner,Secondary / secondary special,-23998,365243,-4858,,2,2,XNA,,0.6667729246303692,0.6212263380626669,,,,,-292.0
157902,0,M,1018899.0,850500.0,Working,Secondary / secondary special,-14854,-6492,-3892,,2,2,Emergency,,0.6538595680213771,0.7557400501752248,,,,,-1506.0
157904,0,M,900000.0,900000.0,Working,Secondary / secondary special,-15904,-2614,-4833,,2,2,Self-employed,0.6422031776440208,0.5966391675152887,0.4206109640437848,0.3333,0.3333,0.3333,0.0365,-434.0
157905,0,F,810000.0,810000.0,Commercial associate,Higher education,-17648,-567,-1186,Accountants,2,2,Business Entity Type 1,0.8249216747587994,0.6588903088251123,0.6212263380626669,0.3542,0.3333,0.3542,0.1981,-1011.0
157906,0,F,675000.0,675000.0,Working,Secondary / secondary special,-19633,-2087,-3185,Sales staff,2,2,Self-employed,,0.3974006699134879,0.622922000268356,,,,,-1919.0
157907,0,F,747000.0,747000.0,Pensioner,Secondary / secondary special,-22461,365243,-4868,,2,2,XNA,,0.6506952184671625,0.5902333386185574,0.1667,0.1667,0.1667,0.0213,-431.0
157908,0,F,1350000.0,1350000.0,Working,Secondary / secondary special,-16221,-3874,-4542,Accountants,2,2,Self-employed,,0.4494208177589953,0.7530673920730478,,,,,-943.0
157909,0,F,1082214.0,945000.0,Working,Secondary / secondary special,-17981,-849,-1509,,2,2,Business Entity Type 3,,0.2653117484731741,0.622922000268356,0.0417,0.0417,0.0417,0.0163,0.0
157910,0,M,360000.0,360000.0,Commercial associate,Higher education,-18536,-270,-1745,Drivers,1,1,Business Entity Type 3,,0.7101963524164087,0.5513812618027899,,,,,-556.0
157911,0,M,1971072.0,1800000.0,Commercial associate,Higher education,-12506,-4391,-1286,High skill tech staff,1,1,Trade: type 7,0.6792364005302617,0.7634077184100403,0.5849900404894085,,,,,-1484.0
157912,0,F,679500.0,679500.0,Pensioner,Higher education,-22103,365243,-525,,1,1,XNA,0.7845488086424898,0.6558612652648024,0.4014074137749511,0.3388,0.1667,0.3333,0.1667,-234.0
157914,0,F,990000.0,990000.0,Commercial associate,Secondary / secondary special,-20326,-1486,-3883,Managers,2,2,Business Entity Type 3,,0.6975862961133567,0.5064842396679806,0.1667,0.1667,0.1667,0.0526,-271.0
157915,0,F,1006920.0,900000.0,Working,Higher education,-11341,-3823,-3452,Laborers,2,2,Transport: type 2,,0.1693891711822922,,,,,,-3.0
157916,0,F,901192.5,805500.0,State servant,Secondary / secondary special,-15636,-3470,-3304,Medicine staff,2,2,Other,,0.4941908349236454,0.5226973172821112,,,,,-2289.0
157917,0,F,450000.0,450000.0,Working,Lower secondary,-9027,-1270,-741,Laborers,2,2,Business Entity Type 1,,0.7272737097695422,0.4686596550493113,,,,,-706.0
157918,0,M,545040.0,450000.0,Commercial associate,Secondary / secondary special,-10492,-1920,-3159,,2,2,Self-employed,,0.7495652644811364,0.6479768603302221,,,,,-351.0
157921,0,M,904500.0,904500.0,Working,Secondary / secondary special,-21111,-1159,-4319,Drivers,3,3,Business Entity Type 2,0.5747660767816234,0.5950593701936798,0.6512602186973006,0.625,0.625,0.625,0.3057,-913.0
157922,0,M,450000.0,450000.0,Working,Secondary / secondary special,-14310,-489,-4830,Laborers,2,2,Self-employed,,0.6726161377542426,0.7850520263728172,,,,,-63.0
157924,1,F,636826.5,576000.0,Working,Secondary / secondary special,-15096,-2641,-345,Core staff,3,1,Kindergarten,0.7132034542429523,0.54037428169792,0.3392876999089139,0.3333,0.3333,0.3333,0.0683,-2335.0
157925,0,M,381528.0,315000.0,Working,Incomplete higher,-8918,-813,-1537,Sales staff,2,2,Other,0.1547420760649758,0.6473078839919058,0.5656079814115492,0.3333,0.3333,0.3333,0.1252,-609.0
157928,0,F,1724220.0,1350000.0,Working,Secondary / secondary special,-22867,-2210,-4167,Security staff,2,2,Construction,,0.100423871131472,0.7801436381572275,,,,,-947.0
157929,0,F,495000.0,495000.0,Working,Secondary / secondary special,-17422,-10821,-958,,3,3,Housing,,0.7091555806911365,,0.375,0.375,0.375,0.4359,-592.0
157930,0,F,665325.0,616500.0,Working,Secondary / secondary special,-14706,-1266,-260,Sales staff,1,1,Trade: type 7,,0.487512624358615,0.4489622731076524,0.375,0.375,0.375,0.3688,-827.0
157931,0,F,225000.0,225000.0,Commercial associate,Higher education,-19547,-360,-2430,Sales staff,3,3,Trade: type 7,0.6750215733803502,0.5301915747064445,,0.1667,0.1667,0.1667,0.0595,0.0
157932,0,F,283585.5,256500.0,Commercial associate,Higher education,-17759,-647,-1314,,2,2,Business Entity Type 3,0.456731412453026,0.6495760726231459,0.2458512138252296,0.3333,0.3333,0.3333,0.196,-1516.0
157933,0,F,276277.5,238500.0,Commercial associate,Higher education,-18538,-2695,-2030,Managers,1,1,Business Entity Type 3,,0.6880745406976003,0.8150073858059296,0.3333,0.3333,0.3333,0.1126,0.0
157934,0,F,337500.0,337500.0,Pensioner,Secondary / secondary special,-19852,365243,-3374,,2,2,XNA,,0.6560043856085771,,,,,0.008,-351.0
157935,0,F,630000.0,630000.0,Commercial associate,Secondary / secondary special,-10289,-2761,-1344,Cooking staff,2,2,Business Entity Type 2,,0.2851305983454367,,0.1667,0.1667,0.1667,0.0533,-510.0
157936,0,M,490495.5,454500.0,Working,Secondary / secondary special,-17384,-748,-933,,1,1,Business Entity Type 3,0.5072109412015554,0.7353981489934153,0.6109913280868294,0.1667,0.1667,0.1667,0.1111,-1802.0
157937,0,F,254700.0,225000.0,Working,Secondary / secondary special,-19439,-1881,-2986,High skill tech staff,2,2,Business Entity Type 3,,0.5770726484637697,0.7016957740576931,0.1667,0.1667,0.1667,0.1552,-350.0
157938,0,F,199467.0,166500.0,Working,Secondary / secondary special,-14300,-342,-4324,,2,2,Self-employed,0.6959205431492433,0.6461937857071087,,0.125,0.125,0.125,0.032,-619.0
157939,0,F,540000.0,540000.0,Commercial associate,Secondary / secondary special,-19542,-3681,-3090,,2,2,Business Entity Type 3,,0.0751861415402232,,0.0417,0.0417,0.0417,0.0218,-2034.0
157940,1,M,199080.0,157500.0,Working,Secondary / secondary special,-9682,-2108,-2363,Security staff,2,2,Business Entity Type 3,0.3277351557531909,0.4209469161123929,0.1862929496555374,,,,,-282.0
157941,0,F,835380.0,675000.0,Commercial associate,Higher education,-14413,-5292,-2224,Core staff,3,2,Police,0.3272523424449649,0.4493234225493974,,0.1667,0.1667,0.1667,0.0574,-1973.0
157942,0,F,269550.0,225000.0,Pensioner,Secondary / secondary special,-24042,365243,-4172,,2,2,XNA,,0.4522956898184999,0.5744466170995097,0.1667,0.1667,0.1667,0.0493,-1516.0
157943,0,M,1350000.0,1350000.0,Working,Higher education,-15692,-2551,-4422,Managers,2,2,Transport: type 4,,0.7174107284936683,0.520897599048938,,,,,-3615.0
157944,0,F,1305000.0,1305000.0,Working,Secondary / secondary special,-10158,-183,-2528,Sales staff,2,2,Self-employed,0.5917980356138429,0.6346476480747009,0.4206109640437848,,,,,0.0
157945,0,F,1671210.0,1395000.0,Commercial associate,Higher education,-19248,-2978,-2799,,2,2,Business Entity Type 3,0.8701816569370662,0.6637732794872823,0.7165702448010511,,,,,-1649.0
157946,0,M,397881.0,328500.0,Commercial associate,Secondary / secondary special,-14957,-3018,-4474,Security staff,1,1,Security,,0.6750096450779032,0.3962195720630885,0.1667,0.1667,0.1667,0.0668,0.0
157947,0,F,112500.0,112500.0,State servant,Higher education,-10975,-1045,-2466,Core staff,2,2,Other,,0.6822584438738992,0.3409064264152384,,,,,-1307.0
157950,0,M,1034784.0,931500.0,Commercial associate,Secondary / secondary special,-14327,-1328,-1872,Drivers,1,1,Business Entity Type 3,,0.7240872365177895,0.3139166772114369,0.2917,0.2917,0.2917,0.0876,-676.0
157951,0,M,2517300.0,2250000.0,Commercial associate,Higher education,-10405,-899,-3081,IT staff,2,2,Business Entity Type 1,,0.5777663057466476,0.5954562029091491,0.375,0.375,0.375,0.2266,-1079.0
157953,0,M,675000.0,675000.0,Working,Secondary / secondary special,-9820,-1581,-2480,Laborers,2,2,Business Entity Type 3,0.2573371648391898,0.6684519040634377,0.375711009574066,,,,,-678.0
157954,0,F,1125000.0,1125000.0,Commercial associate,Secondary / secondary special,-17430,-1569,-968,,3,3,Business Entity Type 3,0.6409998574248593,0.0236167559050743,0.1198779608955348,0.0833,0.0833,0.0833,0.0692,-515.0
157956,0,F,312768.0,270000.0,Working,Secondary / secondary special,-14765,-2563,-4304,,2,2,Government,0.5910034319854219,,0.5726825047161584,,,,,0.0
157957,1,M,384048.0,270000.0,State servant,Secondary / secondary special,-11745,-1314,-1926,Drivers,2,2,Business Entity Type 3,0.3569940163198692,0.2518111155167512,0.6817058776720116,,,,,-1598.0
157959,0,F,835380.0,675000.0,Commercial associate,Secondary / secondary special,-12833,-2834,-4224,Sales staff,2,2,Business Entity Type 3,,0.6859633248050852,,,,,,-1663.0
157961,0,M,268659.0,243000.0,Working,Secondary / secondary special,-14963,-1204,-4569,,2,2,Business Entity Type 3,0.4292671012317626,0.4730870582777661,0.3825018041447388,,,,,-1155.0
157962,0,F,342000.0,342000.0,Working,Secondary / secondary special,-9033,-250,-1715,Waiters/barmen staff,2,2,Business Entity Type 3,0.2887850954809265,0.4066948717310926,0.622922000268356,0.0417,0.0417,0.0417,0.013,0.0
157963,0,F,543735.0,486000.0,Pensioner,Secondary / secondary special,-23206,365243,-2317,,2,2,XNA,,0.5133816475992189,,0.25,0.1667,0.25,0.0535,-997.0
157964,0,M,270000.0,270000.0,Working,Secondary / secondary special,-15317,-1809,-4700,Drivers,2,2,Trade: type 7,,0.7890143689315441,0.6296742509538716,0.3333,0.3333,0.3333,0.2272,-3070.0
157965,0,F,312768.0,270000.0,Pensioner,Higher education,-20352,365243,-317,,2,2,XNA,0.6354504919706679,0.6655279414309501,0.7136313997323308,0.2917,0.3333,0.3333,0.1679,-2728.0
157967,0,F,1125000.0,1125000.0,Working,Secondary / secondary special,-18066,-7401,-1608,Laborers,2,2,Business Entity Type 3,0.7158809088570142,0.3822606187209655,,0.1667,0.1667,0.1667,0.0546,-701.0
157968,0,F,246357.0,234000.0,Commercial associate,Secondary / secondary special,-13393,-1683,-4447,Private service staff,1,1,Self-employed,0.6062388912337542,0.7461966139749001,0.6430255641096323,,,,,-867.0
157969,0,M,490536.0,405000.0,Working,Secondary / secondary special,-12467,-297,-4442,Security staff,2,2,Business Entity Type 3,0.0876196597258758,0.5257990991632571,0.5316861425197883,0.0833,0.0833,0.0833,0.0151,-1881.0
157971,1,M,358443.0,252000.0,Working,Secondary / secondary special,-12852,-1548,-5173,Laborers,2,2,Business Entity Type 2,0.1719215907300047,0.2622583692422573,0.0839170036575357,,,,,-1104.0
157972,0,F,90000.0,90000.0,Pensioner,Secondary / secondary special,-25116,365243,-4529,,1,1,XNA,,0.6090051232791891,,0.3917,0.4583,0.4583,0.1673,-122.0
157973,1,F,337500.0,337500.0,Working,Secondary / secondary special,-15567,-920,-3062,,2,2,Business Entity Type 2,0.6530792430069655,0.3238050976598898,0.1285043773724039,,,,,-71.0
157974,0,M,675000.0,675000.0,Working,Secondary / secondary special,-8296,-430,-665,Sales staff,2,2,Trade: type 2,0.1928012513739186,0.395961468675809,0.4543210601605785,,,,,-385.0
157975,0,F,135000.0,135000.0,State servant,Higher education,-9423,-1518,-1255,Core staff,2,2,Kindergarten,0.2054207817954809,0.6749616719715295,,0.1667,0.1667,0.1667,0.0734,-1292.0
157976,0,M,515529.0,391500.0,Working,Higher education,-9894,-159,-987,High skill tech staff,3,3,Business Entity Type 3,,0.5020410242541242,0.2837118826350007,0.25,0.2917,0.2708,0.0396,-245.0
157977,0,M,1024740.0,900000.0,Pensioner,Secondary / secondary special,-23241,365243,-4439,,3,3,XNA,,0.091793209211646,0.6347055309763198,0.3333,0.3333,0.3333,0.1848,0.0
157978,0,F,407938.5,378000.0,Working,Secondary / secondary special,-14767,-1478,-4861,Sales staff,1,1,Business Entity Type 3,,0.7908251557821291,,0.2083,0.2083,0.2083,0.0704,-1157.0
157981,0,M,67158.0,63000.0,Working,Secondary / secondary special,-21582,-660,-3770,Security staff,3,3,Self-employed,,0.2137019409092553,,,,,,-366.0
157982,1,F,640080.0,450000.0,Commercial associate,Secondary / secondary special,-10518,-739,-1853,Laborers,1,1,Business Entity Type 3,0.0760625129780083,0.4995863995635018,0.1538025863067176,,,,,-515.0
157983,0,F,675000.0,675000.0,Working,Secondary / secondary special,-14850,-1465,-5439,Laborers,2,2,Construction,0.6400880548030455,0.7223362904604564,0.4206109640437848,0.2221,0.1667,0.1667,0.2462,-1033.0
157984,0,F,1800000.0,1800000.0,State servant,Higher education,-14783,-1037,-583,Secretaries,2,2,Other,0.3067319446568359,0.3852237830220857,0.2525986978339766,0.1667,0.1667,0.1667,0.0649,-328.0
157986,0,M,254700.0,225000.0,Pensioner,Secondary / secondary special,-20426,365243,-3165,,2,2,XNA,,0.3516029934035026,0.4276573700350293,0.3333,0.3333,0.3333,0.2047,-253.0
157987,0,M,781920.0,675000.0,Pensioner,Secondary / secondary special,-21837,365243,-2610,,2,2,XNA,,0.7009295042510659,0.2276129150623945,,,,,-1567.0
157988,0,M,1185282.0,1035000.0,Working,Secondary / secondary special,-15777,-532,-4583,Drivers,2,2,Transport: type 4,0.5201746750528448,0.8021375083012652,0.7421816117614419,,,,,-313.0
157989,0,F,888840.0,675000.0,Commercial associate,Higher education,-15296,-1110,-4578,,2,2,Business Entity Type 3,0.5283824655015916,0.6394106201153127,,0.125,0.125,0.125,0.0232,-18.0
157990,0,F,225000.0,225000.0,Working,Secondary / secondary special,-19379,-4687,-2839,Laborers,1,1,Housing,,0.6449429070875095,0.3706496323299817,0.1667,0.1667,0.1667,0.076,-138.0
157991,0,F,781920.0,675000.0,Commercial associate,Secondary / secondary special,-13611,-585,-3721,Sales staff,2,2,Self-employed,,0.0067700937801755,0.4992720153045617,,,,,-1113.0
157992,0,F,701730.0,675000.0,Working,Secondary / secondary special,-18547,-1739,-2086,Laborers,2,2,Agriculture,,0.4359448412628857,0.746300213050371,,,,,-514.0
157993,0,F,824823.0,688500.0,Commercial associate,Higher education,-8769,-279,-860,Core staff,2,2,Trade: type 7,0.27635032350529,0.5616214832282755,0.108924403541012,0.1667,0.1667,0.1667,0.06,-78.0
157994,0,F,202500.0,202500.0,Working,Secondary / secondary special,-9288,-994,-362,Core staff,2,2,Trade: type 1,0.3065214585844169,0.3563184268618025,0.722392890081304,0.1667,0.1667,0.1667,0.051,-534.0
157995,0,M,1125171.0,1035000.0,Commercial associate,Higher education,-13956,-3472,-644,,1,1,Business Entity Type 3,0.5466783415819412,0.7034765511465052,,0.4167,0.4583,0.4583,0.0399,-778.0
157996,0,F,291915.0,252000.0,Commercial associate,Higher education,-11164,-1479,-3746,Core staff,2,2,Trade: type 2,,0.4672420335694116,0.1301285429480269,,,,,-1211.0
157999,0,F,270000.0,270000.0,Working,Higher education,-14237,-2484,-3710,IT staff,2,2,Business Entity Type 3,,0.6210216540210217,0.5531646987710016,0.3333,0.3333,0.3333,0.1561,-496.0
158000,0,F,1467612.0,1350000.0,Working,Secondary / secondary special,-11818,-3343,-3183,Accountants,3,3,Self-employed,,0.5401298657737523,0.6801388218428291,,,,,-861.0
158001,0,F,1530000.0,1530000.0,State servant,Secondary / secondary special,-12247,-1989,-3777,IT staff,1,1,Police,0.6521493894232591,0.6716957490447726,0.3441550073724169,,,,,-2147.0
158003,1,F,1223010.0,1125000.0,Commercial associate,Secondary / secondary special,-19571,-144,-3024,Laborers,3,3,Business Entity Type 1,,0.7337737555483167,0.1595195404777181,0.1667,0.1667,0.1667,0.0781,-413.0
158006,1,M,728460.0,675000.0,Pensioner,Secondary / secondary special,-22963,365243,-2867,,3,3,XNA,,0.4628300907267912,0.5954562029091491,,,,,-1058.0
158009,0,F,900000.0,900000.0,Working,Higher education,-15253,-3204,-4761,Accountants,3,3,Construction,,0.0776460309260786,,0.0417,0.0417,0.0417,0.0159,-180.0
158010,0,M,285723.0,238500.0,Working,Lower secondary,-13392,-2412,-4906,Laborers,2,2,Self-employed,,0.6055839994085508,0.7981372313187245,,,,,-926.0
158011,0,F,270000.0,270000.0,Commercial associate,Secondary / secondary special,-9339,-607,-1757,Laborers,2,2,Construction,0.2654843957284972,0.5361840351645857,,0.3333,0.3333,0.3333,0.1334,-236.0
158012,0,F,85320.0,67500.0,Pensioner,Secondary / secondary special,-22010,365243,-3891,,3,3,XNA,,0.5400103665110939,0.6058362647264226,0.0417,0.0417,0.0417,0.0112,-935.0
158013,0,F,360000.0,360000.0,Commercial associate,Higher education,-9716,-3167,-800,Managers,2,2,Trade: type 3,,0.1880824686822748,,0.3333,0.3333,0.3333,0.286,-326.0
158014,0,M,265851.0,229500.0,Working,Secondary / secondary special,-21145,-1366,-4649,Security staff,2,2,Transport: type 4,0.6118249417224851,0.169903599248127,0.5388627065779676,,,,,0.0
158016,0,F,213322.5,162000.0,Working,Secondary / secondary special,-19871,-4225,-2992,Medicine staff,3,3,Medicine,,0.6515943059778407,0.8027454758994178,0.3333,0.3333,0.3333,0.0712,-1777.0
158017,0,F,157500.0,157500.0,Working,Secondary / secondary special,-21139,-9190,-4516,Laborers,2,2,Electricity,0.7312564050938589,0.7380194607727149,0.6512602186973006,0.125,0.125,0.125,0.0445,-1503.0
158018,0,F,1125000.0,1125000.0,Working,Higher education,-11889,-1137,-2385,Managers,1,1,Kindergarten,0.7966026090116574,0.7228535303444308,0.4525335592581747,0.3333,0.3333,0.3333,0.3666,-1531.0
158019,1,F,388512.0,360000.0,Pensioner,Secondary / secondary special,-21424,365243,-4701,,2,2,XNA,,0.0901889259029849,,0.1667,0.1667,0.1667,0.0502,-1109.0
158020,0,M,302206.5,229500.0,Working,Secondary / secondary special,-10088,-141,-2773,Laborers,3,3,Business Entity Type 3,0.2876607699672957,0.5343671826705914,0.2314393514998941,0.1667,0.1667,0.1667,0.1379,-726.0
158021,0,F,545040.0,450000.0,Pensioner,Secondary / secondary special,-21085,365243,-4411,,2,2,XNA,,0.6273566368244042,0.3774042489507649,,,,,-2512.0
158022,1,F,381528.0,315000.0,Working,Secondary / secondary special,-12104,-2045,-320,Security staff,3,3,School,,0.2027794451513824,0.178760465484575,,,,,-237.0
158023,1,M,457717.5,414000.0,Working,Secondary / secondary special,-16389,-1849,-2127,Drivers,2,2,Business Entity Type 3,,0.5635425872686063,0.6263042766749393,,,,,-1551.0
158024,1,F,286704.0,247500.0,Pensioner,Higher education,-21264,365243,-825,,3,3,XNA,0.2245506652799028,0.1818588205006171,0.1510075350878296,,,,,-1.0
158025,0,M,544068.0,382500.0,Working,Secondary / secondary special,-11881,-1923,-2117,Laborers,2,2,Business Entity Type 3,0.2459278496454781,0.6507449198651057,0.2940831009471255,0.1667,0.1667,0.1667,0.0903,0.0
158026,0,F,593010.0,495000.0,State servant,Incomplete higher,-10804,-2788,-3032,,3,3,Medicine,0.4062869683324885,0.0740026998661448,0.5154953751603267,0.1667,0.1667,0.1667,0.0434,-582.0
158027,0,F,1188094.5,1138500.0,State servant,Secondary / secondary special,-20605,-4147,-4153,,2,2,Other,,0.4245756757610093,,0.0833,0.0833,0.0833,0.0235,-546.0
158028,0,M,993082.5,913500.0,Working,Secondary / secondary special,-11949,-1279,-1622,Drivers,1,1,Business Entity Type 3,,0.6916862882555666,0.5028782772082183,,,,,-1131.0
158029,1,F,343800.0,225000.0,Pensioner,Secondary / secondary special,-23395,365243,-4276,,2,2,XNA,,0.5193832434666121,,,,,,-419.0
158030,0,M,634482.0,454500.0,Working,Secondary / secondary special,-10602,-3134,-3185,,2,2,Transport: type 4,0.1972067407025612,0.222392103634046,0.6642482627052363,0.4583,0.4583,0.4583,0.0,-2267.0
158031,0,F,675000.0,675000.0,Pensioner,Secondary / secondary special,-22045,365243,-4668,,2,2,XNA,,0.3454858866640793,0.6610235391308081,,,,,-1542.0
158032,0,F,661500.0,661500.0,Pensioner,Secondary / secondary special,-22828,365243,-4313,,2,2,XNA,,0.5826078583696835,,,,,,0.0
158034,0,F,573408.0,495000.0,Working,Higher education,-10700,-1215,-3132,Medicine staff,2,2,Other,0.6352907563942121,0.302546068061971,0.722392890081304,,,,,-2444.0
158035,0,F,454500.0,454500.0,Working,Secondary / secondary special,-18363,-628,-1925,Cooking staff,2,2,School,0.6553169019263672,0.6428972186219171,0.2471909382666521,,,,,-1741.0
158037,0,F,835605.0,697500.0,Pensioner,Secondary / secondary special,-23491,365243,-4636,,3,3,XNA,,0.6155614878626923,0.7032033049040319,0.1667,0.1667,0.1667,0.0538,-698.0
158038,0,F,497520.0,450000.0,Commercial associate,Higher education,-11839,-1863,-4161,Accountants,3,3,Self-employed,0.2256546559403525,0.5267640658989571,0.2327247762679433,0.2083,0.2083,0.2083,0.1799,-1488.0
158039,0,F,814500.0,814500.0,Working,Secondary / secondary special,-15211,-8508,-4291,Cooking staff,2,2,Industry: type 11,0.5219857578721109,0.6253607192930034,0.470456116119975,0.2083,0.1667,0.1667,0.2617,-1211.0
158040,0,F,1350000.0,1350000.0,Commercial associate,Higher education,-12901,-104,-3016,Managers,1,1,Business Entity Type 3,,0.7420789650874328,0.475849908720221,0.6458,0.625,0.6458,0.2539,-245.0
158042,0,F,291384.0,270000.0,Working,Secondary / secondary special,-11530,-1648,-643,Sales staff,3,3,Business Entity Type 3,,0.5523246073539029,,,,,,-526.0
158043,0,M,1515415.5,1354500.0,State servant,Secondary / secondary special,-15841,-7728,-4639,High skill tech staff,2,2,Military,0.4390953463368778,0.7058521203646159,0.475849908720221,0.375,0.375,0.375,0.5717,-1219.0
158045,0,F,900000.0,900000.0,Commercial associate,Secondary / secondary special,-16745,-1253,-274,Managers,2,2,Self-employed,0.6559774888861033,0.5792433033222801,0.4170996682522097,0.1667,0.1667,0.1667,0.0534,-562.0
158046,0,F,1288350.0,1125000.0,Pensioner,Secondary / secondary special,-22972,365243,-4549,,2,2,XNA,,0.1631870354642708,0.7407990879702335,,,,,-1495.0
158047,0,M,1481202.0,1372500.0,Commercial associate,Higher education,-22167,-1019,-4790,Managers,1,1,Housing,,0.7030430237910228,0.6347055309763198,0.5417,0.5417,0.5417,0.1929,-779.0
158048,0,F,147888.0,117000.0,Working,Secondary / secondary special,-10639,-1537,-3320,,2,2,Trade: type 3,0.2841092956825654,0.1472065135134362,0.4722533429586386,,,,,-2247.0
158050,0,F,542133.0,468000.0,State servant,Secondary / secondary special,-19902,-1140,-2938,Cooking staff,2,2,Medicine,0.7192595409679079,0.6926228413043933,0.4920600938649263,0.0,0.0,0.0,0.0029,-866.0
